n-grams,frequency,correct,incorrect
xa,904148,0,0
fb,888155,0,0
sv,882083,0,0
gd,879792,0,0
ix,879360,0,0
aj,870262,0,0
kl,846309,0,0
hf,834284,0,0
hd,828755,0,0
ae,815963,0,0
sq,800346,0,0
dj,799366,0,0
fy,789961,0,0
az,768359,0,0
ln,752316,0,0
ao,749566,0,0
fd,748027,0,0
kw,719633,0,0
mf,715087,0,0
mh,710864,0,0
sj,704442,0,0
uf,701892,0,0
tv,698150,0,0
xc,697995,0,0
yu,695512,0,0
bb,689158,0,0
ww,674610,0,0
oj,661082,0,0
ax,660826,0,0
mr,660619,0,0
wl,657782,0,0
xe,653947,0,0
kh,650095,0,0
ox,650078,0,0
uo,649906,0,0
zi,644035,0,0
fg,637758,0,0
ih,610683,0,0
tk,610333,0,0
ii,607124,0,0
iu,576683,0,0
tj,559473,0,0
mn,558397,0,0
wy,553647,0,0
ky,553296,0,0
kf,537342,0,0
fn,534362,0,0
uy,531960,0,0
pw,530411,0,0
dk,525744,0,0
rj,518157,0,0
uk,514873,0,0
kr,507020,0,0
ku,506618,0,0
wm,505687,0,0
km,485617,0,0
md,481126,0,0
ml,478528,0,0
ez,465466,0,0
kb,457860,0,0
wc,448394,0,0
wd,432646,0,0
hg,429607,0,0
bt,428276,0,0
zo,424016,0,0
kc,420017,0,0
pf,418168,0,0
yv,411487,0,0
pc,400308,0,0
py,396147,0,0
wb,394820,0,0
yk,391953,0,0
cp,382923,0,0
yj,378679,0,0
kp,375653,0,0
pb,369336,0,0
cd,358435,0,0
ji,357577,0,0
uw,352732,0,0
uh,339341,0,0
wf,336213,0,0
yy,332973,0,0
wp,321746,0,0
bc,320380,0,0
aq,315068,0,0
cb,298053,0,0
iq,291635,0,0
cm,285942,0,0
mg,285133,0,0
dq,283314,0,0
bj,282608,0,0
tz,280007,0,0
kd,277982,0,0
pd,273162,0,0
fj,269865,0,0
cf,267630,0,0
nz,266461,0,0
cw,257253,0,0
fv,244685,0,0
vy,233082,0,0
fk,228905,0,0
oz,228556,0,0
zz,221275,0,0
ij,219128,0,0
lj,218362,0,0
nq,217422,0,0
uv,212051,0,0
xo,211173,0,0
pg,211133,0,0
hk,210385,0,0
kg,209266,0,0
vs,204093,0,0
hv,197539,0,0
bm,191807,0,0
hj,189906,0,0
cn,188046,0,0
gv,186777,0,0
cg,181590,0,0
wu,180884,0,0
gj,176947,0,0
xh,166599,0,0
gk,163830,0,0
tq,159111,0,0
cq,157546,0,0
rq,156933,0,0
bh,154489,0,0
xs,154347,0,0
uz,153736,0,0
wk,148964,0,0
xu,147533,0,0
ux,144814,0,0
bd,141752,0,0
bw,140189,0,0
wg,139890,0,0
mv,136314,0,0
mj,134263,0,0
pn,131645,0,0
xm,127492,0,0
oq,122677,0,0
bv,120081,0,0
xw,119322,0,0
kk,118811,0,0
bp,115161,0,0
zu,113538,0,0
rz,113432,0,0
xf,113031,0,0
mk,111041,0,0
zh,107639,0,0
bn,106125,0,0
zy,105871,0,0
hq,101241,0,0
wj,99435,0,0
iy,98361,0,0
dz,98038,0,0
vr,96416,0,0
zs,94993,0,0
xy,94329,0,0
cv,94224,0,0
xb,94041,0,0
xr,90046,0,0
uj,88168,0,0
yq,87953,0,0
vd,85611,0,0
pk,83017,0,0
vu,82830,0,0
jr,80471,0,0
zl,80039,0,0
sz,79840,0,0
yz,78281,0,0
lq,77148,0,0
kj,76816,0,0
bf,75352,0,0
nx,74844,0,0
qa,73527,0,0
qi,73387,0,0
kv,73184,0,0
zw,68865,0,0
wv,63930,0,0
uu,63043,0,0
vt,62912,0,0
vp,62577,0,0
xd,60101,0,0
gq,59750,0,0
xl,59585,0,0
vc,59024,0,0
cz,57914,0,0
lz,57314,0,0
zt,56955,0,0
wz,52836,0,0
sx,50975,0,0
zb,50652,0,0
vl,49032,0,0
pv,48105,0,0
fq,47504,0,0
pj,47043,0,0
zm,46034,0,0
vw,45608,0,0
cj,41526,0,0
zc,41037,0,0
bg,40516,0,0
js,39326,0,0
xg,39289,0,0
rx,38654,0,0
hz,37066,0,0
xx,35052,0,0
vm,35024,0,0
xn,34734,0,0
qw,34669,0,0
jp,34520,0,0
vn,33082,0,0
zd,32906,0,0
zr,32685,0,0
fz,31186,0,0
xv,31117,0,0
zp,30389,0,0
vh,30203,0,0
vb,29192,0,0
zf,28658,0,0
gz,28514,0,0
tx,28156,0,0
vf,28090,0,0
dx,27413,0,0
qb,27307,0,0
bk,26993,0,0
zg,26369,0,0
vg,25585,0,0
jc,24770,0,0
zk,24262,0,0
zn,24241,0,0
uq,23386,0,0
jm,22338,0,0
vv,22329,0,0
jd,21903,0,0
mq,21358,0,0
jh,20960,0,0
qs,20847,0,0
jt,20408,0,0
jb,19380,0,0
fx,19313,0,0
pq,18607,0,0
mz,18271,0,0
yx,16945,0,0
qt,16914,0,0
wq,16245,0,0
jj,16085,0,0
jw,16083,0,0
lx,15467,0,0
gx,14778,0,0
jn,14452,0,0
zv,14339,0,0
mx,14250,0,0
jk,13967,0,0
kq,13905,0,0
xk,13651,0,0
jf,12640,0,0
qm,12315,0,0
qh,12273,0,0
jl,12149,0,0
jg,12023,0,0
vk,11469,0,0
vj,11432,0,0
kz,11192,0,0
qc,10667,0,0
xj,10629,0,0
pz,9697,0,0
ql,9603,0,0
qo,9394,0,0
jv,8925,0,0
qf,8778,0,0
qd,8678,0,0
bz,8132,0,0
hx,7526,0,0
zj,7167,0,0
px,6814,0,0
qp,6062,0,0
qe,6020,0,0
qr,5975,0,0
zq,5773,0,0
jy,5723,0,0
bq,5513,0,0
xq,5416,0,0
cx,5300,0,0
kx,5083,0,0
wx,4678,0,0
qy,4557,0,0
qv,4212,0,0
qn,3808,0,0
vx,3192,0,0
bx,3021,0,0
jz,2859,0,0
vz,2633,0,0
qg,2567,0,0
qq,2499,0,0
zx,2463,0,0
xz,2082,0,0
qk,2023,0,0
vq,1488,0,0
qj,1342,0,0
qx,765,0,0
jx,747,0,0
jq,722,0,0
qz,280,0,0
